HARPNUM,NOAA,Number,Class,Peak,Time,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,Class Value
3263,11865,1.3,2013.10.14 23:36,1.73E+22,123.893,0.0213773,5975.426,25.57,1808.726,63.154,0.06450654,43.136,126.147,0.06848366,3.45E+13,2.16E+13,2.39E+23,34.61,903.439697,4.293,643.286,0
3258,11861,1.2,2013.10.16 15:41,3.47E+22,91.176,-0.00448553,8210.716,32.243,2443,49.355,-0.01010708,44.733,96.502,-0.20131709,4.90E+13,5.62E+12,5.83E+23,37.913,1135.925171,4.58,239.756,0
3291,11875,1,2013.10.21 00:22,2.61E+22,103.434,-0.0020511,3801.825,26.762,2024.794,52.367,-0.00798426,43.791,104.236,0.05730667,5.08E+13,1.52E+12,2.57E+23,36.32,1149.549072,4.228,104.428,0
3291,11875,1,2013.10.21 15:20,2.66E+22,104.653,-0.00801272,6355.938,35.371,2727.837,62.052,-0.0280538,48.825,107.377,0.0766759,6.46E+13,1.35E+13,4.37E+23,40.748,1458.736694,4.712,414.827,0
3291,11875,2.7,2013.10.22 20:53,3.22E+22,101.556,-0.0042304,9200.475,46.973,3800.031,67.085,-0.01317617,56.571,107.188,0.17363268,8.10E+13,1.54E+13,7.92E+23,46.668,1798.98645,4.898,274.375,0
3291,11875,1.4,2013.10.22 23:43,3.28E+22,103.995,-0.0058415,11170.43,49.467,4114.347,71.997,-0.01605433,57.665,110.483,0.16915154,8.15E+13,2.13E+13,9.15E+23,47.678,1824.135254,4.867,360.309,0
3291,11875,3.1,2013.10.23 00:08,3.30E+22,103.535,-0.00557373,11404.43,49.933,4134.292,71.988,-0.01504535,57.74,110.165,0.13818315,8.11E+13,2.47E+13,9.32E+23,47.876,1837.375854,4.85,342.929,0
3291,11875,2.5,2013.10.23 10:09,3.67E+22,102.84,-0.00250873,13045.51,49.284,4374.485,69.8,-0.0058955,56.703,108.796,0.38001361,8.73E+13,1.81E+13,1.12E+24,47.38,2019.052979,4.936,161.711,0
3291,11875,3.5,2013.10.23 10:33,3.64E+22,103.187,-0.00251064,13318.46,49.706,4402.617,70.188,-0.00580732,56.778,108.972,0.35159326,8.71E+13,1.68E+13,1.12E+24,47.475,2013.446777,4.982,159.024,0
3311,11882,1,2013.10.25 19:53,2.00E+22,82.292,-0.00971712,13341.15,34.042,2246.356,51.004,-0.01979773,45.264,100.621,0.03183401,3.16E+13,1.08E+13,5.08E+23,38.299,533.493652,4.506,278.531,0
3291,11875,3.5,2013.10.26 12:48,4.76E+22,91.887,-0.01002248,9230.268,34.904,3411.01,49.866,-0.0251289,46.375,96.552,0.15897547,7.46E+13,3.50E+13,9.79E+23,39.915,1838.830688,4.774,800.435,0
3295,11877,1.4,2013.10.27 11:53,3.75E+22,94.494,0.00647992,7318.75,35.197,2440.368,49.059,0.01928757,46.773,95.425,0.03585327,6.16E+13,2.14E+13,6.74E+23,40.557,1717.238281,4.529,449.123,0
3291,11875,2.8,2013.10.27 14:05,6.13E+22,82.705,-0.00777502,9148.02,28.463,3732.605,43.218,-0.01836613,42.408,90.285,0.02943901,7.75E+13,3.60E+13,1.15E+24,36.424,1898.348022,4.598,733.635,0
3311,11882,2.7,2013.10.27 15:01,2.12E+22,92.241,-0.01783102,13152.78,49.082,2427.452,64.193,-0.03540986,53.904,103.565,-0.06589366,4.36E+13,1.49E+13,5.67E+23,47.606,778.499268,4.665,578.652,0
3311,11882,4.4,2013.10.27 15:15,2.12E+22,92.774,-0.01742227,13239.88,49.062,2398.762,63.998,-0.03425881,54.026,104.321,-0.10455449,4.37E+13,1.46E+13,5.68E+23,47.669,782.204346,4.651,562.826,0
3291,11875,1.5,2013.10.27 20:57,6.59E+22,78.439,-0.00805914,9726.277,28.454,3949.909,41.764,-0.01786138,41.773,86.488,-0.01139923,7.90E+13,3.64E+13,1.26E+24,36.447,1955.866821,4.381,783.268,0
3321,11884,6.3,2013.10.31 19:53,3.63E+22,96.239,0.00474979,8790.732,42.49,3306.059,55.97,0.01362676,51.011,99.593,0.06157223,7.47E+13,1.16E+13,7.75E+23,43.603,1744.871704,4.588,315.419,0
3321,11884,1.6,2013.11.01 22:21,3.17E+22,99.376,0.0057029,8063.062,44.26,2850.067,59.359,0.01741672,53.197,99.886,0.10930205,6.42E+13,1.51E+13,6.56E+23,44.391,1685.751465,4.44,349.445,0
3321,11884,5,2013.11.02 05:22,2.87E+22,104.55,0.00842025,8736.192,41.65,2718.343,60.82,0.02272852,51.665,107.036,0.14399926,5.92E+13,1.44E+13,5.95E+23,43.194,1607.026367,4.485,431.782,0
3341,11890,2.5,2013.11.04 08:18,7.00E+22,75.201,0.00538125,9373.65,31.078,4606.029,43.941,0.01162965,43,84.8,-0.14855587,8.78E+13,1.72E+13,1.25E+24,37.218,2183.89917,4.815,538.329,0
3341,11890,33,2013.11.04 22:12,7.42E+22,83.179,0.00923139,10297.19,33.624,5564.598,48.433,0.01984761,44.328,92.555,-0.06977245,1.04E+14,3.31E+13,1.48E+24,38.927,2338.015625,5.039,998.44,0
3341,11890,3.8,2013.11.05 13:46,6.43E+22,90.18,0.0118463,10703.59,34.929,5568.691,53.186,0.02663513,45.436,97.153,-0.17053886,1.04E+14,3.69E+13,1.38E+24,40.045,2489.069092,5.008,1146.615,0
3341,11890,2.3,2013.11.06 03:40,6.01E+22,98.057,0.01033712,11458.73,38.943,5672.128,58.183,0.02207041,47.56,105.735,-0.13224129,1.07E+14,1.75E+13,1.36E+24,41.782,2477.682129,5.019,926.754,0
3341,11890,2.4,2013.11.06 14:25,5.44E+22,95.863,0.01107847,10735.94,42.496,5236.818,58.526,0.02730992,50.191,101.785,-0.07150545,1.08E+14,3.13E+13,1.27E+24,43.897,2422.064209,4.961,989.817,0
3344,11891,2.3,2013.11.07 09:28,6.93E+21,109.741,0.02207863,7782.875,39.619,835.871,74.259,0.06229154,53.03,116.057,-0.09392605,1.62E+13,1.05E+13,1.28E+23,41.993,305.427887,4.225,273.51,0
3376,11899,1,2013.11.14 02:29,5.08E+22,66.369,-0.00313704,12760.21,30.88,2722.357,35.835,-0.00635327,42.467,70.846,0.02473374,5.21E+13,9.68E+12,1.26E+24,36.572,1209.313477,4.346,234.073,0
3364,11900,1.2,2013.11.15 04:53,2.26E+22,102.97,-0.00519986,9111.009,47.174,2424.235,66.653,-0.01340435,55.061,105.091,0.17589226,4.92E+13,1.23E+13,4.98E+23,45.963,1012.152771,4.446,214.187,0
3364,11900,1.6,2013.11.15 07:49,2.20E+22,111.551,-0.00219081,9813.479,45.688,2326.998,72.297,-0.00521972,54.235,112.631,0.0534235,4.65E+13,3.67E+12,4.89E+23,45.052,1045.884277,4.582,82.171,0
3364,11900,1,2013.11.16 05:10,2.91E+22,106.46,0.00100805,8188.277,39.661,2730.361,61.501,0.00276994,50.591,109.302,0.05669066,5.85E+13,2.08E+12,5.69E+23,42.769,1198.16626,4.824,52.725,0
3376,11904,1.1,2013.11.22 02:32,4.69E+22,92.193,-0.00690192,14987.98,35.123,3296.82,47.192,-0.01269313,46.073,95.326,-0.09165645,6.73E+13,9.62E+12,1.43E+24,40.132,1874.664429,4.221,496.855,0
3376,11904,1,2013.11.22 12:57,5.42E+22,88.829,-0.00554374,12478.09,29.505,3683.614,43.724,-0.01144716,42.814,93.1,-0.14375918,7.44E+13,1.44E+13,1.41E+24,37.109,1969.982544,4.331,470.314,0
3437,11909,1.2,2013.12.06 07:29,1.71E+22,107.28,0.00017123,4903.066,23.499,1061.312,50.987,0.00051635,40.248,107.588,-0.11576606,2.56E+13,2.31E+12,1.91E+23,34.19,675.293823,3.835,5.012,0
3497,11928,1.9,2013.12.21 08:11,4.20E+22,100.781,0.0049527,7557.203,32.031,3214.241,53.984,0.01204546,44.407,104.894,0.06500685,6.77E+13,2.03E+13,6.71E+23,37.43,1477.576904,4.727,331.306,0
3497,11928,1.1,2013.12.21 08:37,4.16E+22,101.998,0.00549213,7757.803,31.126,3212.485,55.061,0.01288447,44.118,106.704,0.05098388,6.64E+13,2.11E+13,6.66E+23,36.996,1487.399902,4.77,354.913,0
3520,11934,1.6,2013.12.21 14:38,4.48E+22,85.965,-0.0004938,5684.855,21.246,2664.547,40.596,-0.00139761,37.774,90.094,0.03570839,6.10E+13,4.22E+12,5.48E+23,31.999,1245.888062,4.274,35.861,0
3497,11928,3.3,2013.12.21 15:12,4.26E+22,102.758,0.00205268,8021.823,30.868,3351.165,56.235,0.00455906,43.929,108.385,-0.22602671,6.63E+13,8.60E+12,6.82E+23,36.67,1499.794556,4.82,131.343,0
3497,11928,1.6,2013.12.21 22:08,4.58E+22,99.637,0.00151124,7804.07,27.643,3503.19,53.989,0.00329603,42.112,105.042,-0.09799925,6.63E+13,6.64E+12,6.93E+23,35.085,1449.291626,4.792,101.102,0
3497,11928,1.3,2013.12.22 00:03,4.63E+22,97.228,-0.00094865,7505.92,28.228,3558.294,52.615,-0.00214997,42.138,103.027,-0.11732382,6.85E+13,4.14E+12,6.92E+23,35.309,1435.036743,4.801,65.816,0
3497,11928,1.6,2013.12.22 09:06,4.82E+22,90.851,-0.00636345,7895.941,24.697,3695.585,48.485,-0.01402095,40.024,98.759,-0.12504168,6.39E+13,8.68E+12,7.22E+23,33.223,1430.366211,4.885,438.308,0
3535,11936,3.1,2013.12.28 07:56,1.67E+22,116.571,-0.0046671,4424.947,29.623,1597.349,65.689,-0.01602875,47.035,115.651,0.27250668,3.63E+13,8.48E+12,1.83E+23,37.541,981.339661,4.092,145.105,0
3535,11936,6.4,2013.12.30 21:58,2.75E+22,111.439,-0.00292656,7852.725,39.638,2774.179,69.227,-0.00836089,51.937,113.696,0.18384533,5.96E+13,4.67E+12,5.21E+23,42.523,1490.717041,4.562,146.155,0
3535,11936,9.9,2013.12.31 18:52,3.64E+22,108.693,-0.00184212,6761.546,37.02,3208.241,61.21,-0.00507283,48.467,112.675,0.09689964,7.10E+13,3.11E+12,5.67E+23,40.857,1689.716797,4.561,116.376,0
3563,11944,1.3,2014.01.03 10:25,1.21E+23,76.857,0.007566,9301.485,31.801,7849.425,43.782,0.01679506,43.784,86.002,0.05171748,1.63E+14,5.10E+13,2.27E+24,39.066,3627.456543,4.969,1387.272,0
3563,11944,1.3,2014.01.03 10:25,1.21E+23,76.857,0.007566,9301.485,31.801,7849.425,43.782,0.01679506,43.784,86.002,0.05171748,1.63E+14,5.10E+13,2.27E+24,39.066,3627.456543,4.969,1387.272,0
3580,11946,1,2014.01.06 03:53,9.09E+21,101.629,0.0119807,8951.146,50.236,880.432,69.102,0.03000001,57.765,104.225,0.11667376,1.93E+13,5.36E+12,1.99E+23,47.786,361.579712,4.087,200.521,0
3563,11944,7.2,2014.01.06 10:13,9.75E+22,87.304,0.01155664,13103.26,48.664,7875.446,53.836,0.02724716,54.019,90.792,0.15166643,1.77E+14,7.52E+13,2.99E+24,47.4,4496.787598,5.112,1986.055,0
3563,11944,1.3,2014.01.12 21:51,8.92E+22,76.353,0.00664197,9926.867,29.801,4785.45,39.52,0.01434593,42.314,82.567,-0.0898074,9.39E+13,3.88E+13,1.72E+24,35.151,2715.32251,4.607,864.811,0
3686,11967,1,2014.01.31 01:25,8.33E+22,94.567,-0.00584021,13193.59,31.656,7628.563,51.823,-0.01109998,43.148,100.869,0.07755501,1.21E+14,1.26E+13,2.06E+24,37.263,2696.802002,5.136,685.413,0
3686,11967,3,2014.01.31 07:23,7.78E+22,100.466,-0.0073778,14293.71,33.554,8028.357,56.553,-0.01315658,44.508,106.481,0.09463043,1.26E+14,2.07E+13,2.03E+24,38.517,2886.016846,5.199,788.731,0
3688,11968,2.6,2014.02.01 06:34,2.47E+22,115.724,-0.00498313,5264.112,25.474,2205.282,58.981,-0.01460313,41.895,118.125,0.11127156,4.77E+13,3.54E+12,2.80E+23,34.663,1410.858032,4.356,199.689,0
3686,11967,2.2,2014.02.01 08:20,7.64E+22,103.122,-0.01259241,18228.12,41.717,9644.953,65.626,-0.02134517,49.84,110.408,0.17098105,1.41E+14,3.17E+13,2.59E+24,42.858,3399.223633,5.25,1346.695,0
3686,11967,4.4,2014.02.01 09:31,7.66E+22,100.128,-0.01335831,17528.71,41.739,9267.285,63.772,-0.02507111,49.975,106.941,0.16615762,1.45E+14,3.07E+13,2.62E+24,43.134,3445.565674,5.258,1505.535,0
3686,11967,1.3,2014.02.01 14:06,7.29E+22,100.724,-0.01625506,20001.11,44.739,9399.67,66.097,-0.02787744,51.551,110.096,0.21076843,1.46E+14,4.00E+13,2.72E+24,44.865,3545.108643,5.2,1664.111,0
3686,11967,1.3,2014.02.01 22:04,7.64E+22,101.995,-0.01917066,21053.93,46.331,10409.904,68.074,-0.02966469,52.535,110.863,0.19288281,1.44E+14,5.66E+13,2.94E+24,45.719,3603.744873,5.417,2015.105,0
3688,11968,3.8,2014.02.03 01:23,2.35E+22,115.476,-0.00734665,7984.953,39.506,2315.319,72.141,-0.01837748,51.566,119.138,0.18545902,5.00E+13,1.16E+13,4.05E+23,41.492,1621.713257,4.476,280.737,0
3686,11967,5.2,2014.02.03 04:00,7.48E+22,100.576,-0.02922837,25132.4,52.4,10216.24,71.938,-0.04160662,56.549,112.061,0.14506125,1.44E+14,9.45E+13,3.33E+24,48.538,3883.043701,5.392,2920.265,0
3686,11967,1.4,2014.02.03 09:49,7.38E+22,100.229,-0.02696144,24043.29,52.756,9626.704,71.287,-0.04016656,56.438,111.266,0.23630834,1.39E+14,9.31E+13,3.18E+24,48.473,3983.966309,5.466,2689.161,0
3686,11967,1.5,2014.02.03 16:02,7.22E+22,99.104,-0.02926943,23529.43,52.522,9501.064,69.646,-0.04591113,56.183,109.441,0.24706797,1.36E+14,9.69E+13,3.13E+24,48.477,4015.615967,5.38,2931.274,0
3686,11967,1.3,2014.02.04 16:20,7.14E+22,105.218,-0.02639362,21292.09,48.347,9584.797,72.291,-0.04073127,53.58,113.069,0.27436295,1.34E+14,7.84E+13,2.75E+24,46.023,3936.968506,5.36,2562.372,0
3686,11967,1.5,2014.02.05 23:05,8.06E+22,102.657,-0.01367872,16757.45,34.67,8162.099,59.41,-0.02223043,45.09,110.482,0.23172288,1.23E+14,3.27E+13,2.40E+24,38.961,3365.584717,5.127,1474.661,0
3686,11967,2,2014.02.06 04:56,8.35E+22,104.138,-0.0138733,16056.7,31.173,8160.242,58.682,-0.02254518,43.125,111.372,0.10188972,1.23E+14,3.24E+13,2.35E+24,37.237,3278.167236,5.131,1525.619,0
3688,11968,1.9,2014.02.06 10:29,5.76E+22,101.043,-0.01214812,9524.636,29.912,4445.93,56.373,-0.02628127,43.592,108.931,-0.0526572,8.51E+13,5.03E+13,1.03E+24,37.474,2240.61499,4.973,985.747,0
3721,11974,1.8,2014.02.10 16:51,1.76E+22,109.721,0.00200446,8154.069,39.152,1792.835,68.419,0.00547508,52.501,111.486,0.29052779,3.79E+13,4.69E+12,3.42E+23,41.215,1185.150635,4.348,63.243,0
3721,11974,3.7,2014.02.11 04:25,2.04E+22,111.287,-0.01533557,10964.62,45.191,2670.026,76.157,-0.03792126,56.146,117.588,0.04953983,4.72E+13,1.86E+13,5.08E+23,44.73,1368.005371,4.773,534.583,0
3721,11974,2.3,2014.02.11 06:58,2.17E+22,110.77,-0.01567802,10387.68,44.849,2865.102,72.291,-0.03902875,55.824,118.433,0.29429427,5.20E+13,1.99E+13,5.19E+23,44.738,1432.431274,4.768,589.854,0
3721,11974,2.1,2014.02.11 15:51,2.31E+22,108.677,-0.00455818,9967.262,48.395,3077.788,73.422,-0.01253367,58.011,115.45,0.14268674,5.84E+13,3.12E+12,5.65E+23,46.546,1589.143188,4.878,194.402,0
3721,11974,1,2014.02.12 02:51,2.64E+22,117.345,-0.00831422,10304.9,47.116,3872.626,81.87,-0.02073045,57.658,122.493,0.23868836,7.15E+13,1.38E+13,6.26E+23,46.034,1599.183228,4.938,380.567,0
3721,11974,1,2014.02.12 08:12,2.63E+22,115.565,-0.0031165,10857.17,47.593,4012.999,80.538,-0.00765615,58.056,123.624,0.15377295,7.29E+13,4.42E+12,6.59E+23,46.689,1617.074585,5.021,142.433,0
3721,11974,2.3,2014.02.13 02:57,3.24E+22,115.279,-0.00207269,13580.88,49.464,4981.786,81.452,-0.00461968,57.077,124.992,0.16467853,9.06E+13,1.63E+13,9.68E+23,47.327,1784.161987,5.088,111.279,0
3721,11974,1.1,2014.02.13 13:28,3.43E+22,108.096,-0.00216499,12384.76,48.709,4405.018,75.859,-0.00512277,56.56,116.443,0.03196673,8.23E+13,2.15E+13,9.62E+23,46.842,1840.312134,5.075,126.578,0
3721,11974,1,2014.02.13 16:39,3.60E+22,110.036,-0.00235195,12832.87,49.033,4737.63,77.631,-0.00531852,56.647,119.741,-0.02373664,8.71E+13,2.09E+13,1.02E+24,46.944,1913.444214,5.202,140.132,0
3740,11977,1.1,2014.02.15 09:26,2.11E+22,99.386,0.00098643,7680.9,38.836,1723.203,59.053,0.00305168,50.565,99.808,0.29222938,3.89E+13,5.74E+12,3.90E+23,41.943,1298.377686,4.257,37.721,0
3730,11976,3,2014.02.19 07:56,2.45E+22,86.158,0.00412093,6070.176,20.82,1429.913,38.284,0.01046787,36.3,90.791,-0.15060009,2.66E+13,2.85E+12,2.97E+23,30.428,680.018921,4.285,151.869,0
3766,11982,1.1,2014.02.25 15:01,5.63E+22,108.71,-0.00226881,5780.816,31.762,4537.523,59.06,-0.00655201,45.224,109.025,-0.09377633,9.56E+13,4.55E+12,7.23E+23,37.589,2655.638672,4.664,213.774,0
3804,11991,1.1,2014.02.27 00:48,1.80E+22,80.354,-0.00309878,9815.655,32.269,1074.209,46.999,-0.00588031,42.93,90.389,0.21768576,1.84E+13,2.67E+12,3.09E+23,37.616,502.806244,4.181,73.565,0
3779,11986,1.1,2014.03.01 23:19,1.67E+22,71.686,0.000661,800.3797,0.65,505.182,24.736,0.00300473,22.653,72.321,-0.01974778,1.21E+13,1.98E+12,3.06E+22,17.531,249.693008,0,19.021,0
3784,11989,1.2,2014.03.02 15:58,3.49E+22,122.1,-0.00521009,4242.888,18.184,2685.186,58.645,-0.01656346,38.997,121.551,0.28312859,5.85E+13,1.07E+13,3.26E+23,30.525,2542.764893,4.338,301.362,0
3804,11991,1,2014.03.04 02:10,1.70E+22,111.589,-0.01551962,10546.54,46.408,1765.262,73.689,-0.03362359,55.463,114.49,0.22525185,3.66E+13,1.63E+13,3.86E+23,45.249,861.27594,4.506,428.109,0
3836,12002,1,2014.03.08 20:28,8.61E+21,99.076,-0.01582379,3909.277,7.61,609.965,50.883,-0.03077707,30.02,104.443,-0.15949354,9.26E+12,5.94E+12,5.38E+22,23.836,223.03891,3.837,164.061,0
3836,12002,1.1,2014.03.09 00:26,9.34E+21,97.285,-0.01747314,4262.995,11.449,625.089,52.927,-0.03660246,33.657,106.76,-0.09992884,1.04E+13,9.89E+12,6.79E+22,27.452,242.262894,3.833,209.538,0
3836,12002,1,2014.03.09 04:08,1.05E+22,100.482,-0.01146684,5420.291,13.506,825.332,56.782,-0.02529536,35.717,110.518,-0.08762138,1.39E+13,8.32E+12,1.00E+23,28.952,252.079132,3.993,159.951,0
3836,12002,1.7,2014.03.09 15:28,1.28E+22,109.896,-0.01880891,5753.842,17.768,1130.481,59.296,-0.03964996,37.002,122.25,-0.06114666,1.95E+13,1.63E+13,1.29E+23,31.061,423.740051,4.377,316.61,0
3813,11996,1.4,2014.03.09 23:00,2.05E+22,106.507,-0.00120353,4527.642,20.026,1413.384,52.627,-0.00339171,39.41,109.646,-0.27581057,2.98E+13,4.69E+12,1.97E+23,32.464,769.976562,4.137,39.485,0
3813,11996,3.5,2014.03.10 03:50,2.38E+22,104.245,-0.00362696,4319.273,18.826,1688.163,52.989,-0.01011469,38.503,108.726,-0.28699887,3.62E+13,5.55E+12,2.14E+23,31.668,844.473083,4.347,135.111,0
3813,11996,2.5,2014.03.11 11:05,3.54E+22,89.631,-0.00668087,6626.975,20.445,2336.209,47.225,-0.01428929,37.112,97.64,-0.21937062,3.89E+13,1.11E+13,4.18E+23,31.066,1017.505493,4.514,317.355,0
3813,11996,9.3,2014.03.11 22:34,3.82E+22,70.786,-0.00720731,5647.585,19.567,2199.255,39.914,-0.01735862,37.161,78.195,-0.01767576,3.69E+13,1.19E+13,4.08E+23,29.54,932.753845,4.36,392.402,0
3856,12010,1.7,2014.03.19 03:56,2.64E+22,109.826,0.01052175,3982.09,11.891,1960.736,52.91,0.03035102,34.366,114.165,0.21668899,3.83E+13,2.08E+13,2.13E+23,27.641,1284.223633,4.42,423.921,0
3894,12017,2,2014.03.27 19:18,1.08E+22,118.442,0.00237612,6342.31,32.085,892.25,71.547,0.00617115,50.166,117.588,0.06705087,1.87E+13,2.31E+12,1.51E+23,37.8,764.783936,3.506,42.64,0
3894,12017,2.6,2014.03.27 23:51,1.08E+22,121.958,0.00328595,6353.502,31.046,965.209,71.369,0.00843873,48.68,122.93,0.09098559,2.09E+13,3.68E+12,1.49E+23,36.94,751.767944,3.586,58.181,0
3894,12017,2.1,2014.03.29 11:55,1.27E+22,118.281,0.01454859,7014.868,25.095,1218.948,65.183,0.0397124,42.859,123.86,0.1784803,2.43E+13,1.41E+13,1.87E+23,34.688,820.385559,4.459,291.787,0
3879,12014,1.4,2014.03.30 08:07,3.38E+22,77.984,-7.79E-05,4841.841,14.427,1427.553,33.834,-0.00020421,33.038,81.414,-0.11113963,2.79E+13,2.92E+12,3.21E+23,27.646,848.131287,4.231,3.896,0
4000,12035,1,2014.04.15 19:59,4.31E+22,106.102,0.01149601,5450.434,24.044,3266.805,53.283,0.03308992,41.072,108.024,0.1651255,6.85E+13,3.15E+13,5.06E+23,33.873,2009.171265,4.504,803.238,0
4097,12056,5.2,2014.05.07 10:07,7.83E+22,70.105,0.00160211,10372.03,31.43,4585.568,39.099,0.00339722,43.169,78.205,-0.04270892,8.53E+13,2.57E+12,1.55E+24,35.649,2276.028564,4.784,179.912,0
4138,12065,1.3,2014.05.23 18:35,2.16E+22,117.018,0.00146038,2712.057,10.849,1476.36,51.17,0.00482862,33.214,116.601,0.17710808,3.02E+13,7.37E+12,1.26E+23,26.869,897.055176,3.917,50.897,0
4186,12077,1.3,2014.06.02 04:09,1.24E+22,102.482,0.01018051,6196.122,22.046,840.824,50.767,0.02643424,40.021,104.348,-0.0390233,1.72E+13,1.07E+13,1.54E+23,33.732,431.053467,3.423,190.07,0
4197,12080,1.4,2014.06.05 19:31,2.18E+22,108.492,0.00765989,5374.442,18.717,1632.29,52.067,0.02044057,37.343,112.532,-0.01051803,3.34E+13,7.70E+12,2.37E+23,31.144,922.061157,4.503,254.508,0
4197,12080,1.8,2014.06.10 05:34,6.07E+22,95.621,0.00356383,11612.76,48.069,4832.572,59.997,0.0080591,53.44,100.883,0.14202335,1.02E+14,2.27E+13,1.50E+24,46.01,3078.03418,4.87,347.01,0
4197,12085,1.8,2014.06.11 09:37,6.82E+22,95.811,0.00602548,10660.24,37.407,4760.954,53.914,0.01211872,46.853,101.826,-0.11301165,9.61E+13,2.68E+13,1.39E+24,40.341,3007.746094,4.838,590.087,0
4231,12089,1.1,2014.06.11 20:03,3.57E+21,144.564,0.02487393,6385.363,24.915,539.639,91.622,0.05967132,46.563,155.292,0.16572794,9.62E+12,7.87E+12,4.51E+22,34.806,182.561783,3.962,132.28,0
4197,12085,1.1,2014.06.14 11:39,6.39E+22,66.171,0.00140382,6461.367,17.701,2774.578,31.902,0.00332038,34.208,74.635,0.00781576,4.66E+13,4.43E+12,7.55E+23,28.043,2981.719482,0,123.484,0
4225,12087,1,2014.06.15 00:01,2.25E+22,103.963,0.0205896,5234.319,21.038,1660.857,47.805,0.06245822,38.719,104.121,0.68382019,3.30E+13,2.76E+13,2.57E+23,32.494,1113.182495,3.409,761.465,0
4344,12113,1.2,2014.07.08 00:26,1.15E+22,90.02,0.00361106,4247.908,16.639,688.069,43.033,0.00875346,35.06,94.182,-0.2272062,1.22E+13,3.21E+12,9.23E+22,27.871,273.216003,3.718,59.073,0
4294,12106,1.5,2014.07.09 22:34,3.09E+22,96.022,0.00072036,2702.874,7.835,1519.767,38.195,0.00221896,29.435,96.234,-0.19873719,3.24E+13,5.05E+12,1.68E+23,24.88,816.385925,3.802,33.688,0
4396,12130,2.5,2014.07.30 11:14,5.02E+22,82.184,0.00077386,7115.601,25.12,3154.689,43.037,0.00189507,39.885,89.425,-0.21731082,6.08E+13,8.64E+12,6.93E+23,32.984,1605.37854,0,56.72,0
4639,12182,1.3,2014.10.08 01:43,2.07E+22,129.642,-0.0007375,2533.339,9.684,1482.138,54.971,-0.00260884,33.06,128.898,0.27430376,3.27E+13,4.90E+12,1.14E+23,26.127,1436.934448,3.601,25.062,0
4639,12182,1.4,2014.10.08 01:58,2.07E+22,130.207,-0.00039486,2526.891,9.081,1449.528,55.105,-0.00139275,32.767,129.389,0.23340753,3.21E+13,4.15E+12,1.13E+23,25.929,1449.483643,3.722,13.353,0
4639,12182,1.2,2014.10.08 06:59,1.98E+22,131.99,0.00182063,2817.82,10.058,1480.744,57.227,0.00600547,33.377,132.065,0.20769942,3.17E+13,3.45E+12,1.18E+23,26.288,1452.218872,3.774,57.494,0
4698,12192,3.9,2014.10.19 09:11,1.25E+23,80.176,-0.00506511,14303.42,33.775,8233.463,44.841,-0.00927889,43.821,92.394,-0.04389242,1.41E+14,3.01E+13,3.10E+24,38.74,4227.217285,4.997,827.594,0
4698,12192,4.5,2014.10.19 16:37,1.37E+23,83.98,-0.00476762,13384.34,33.384,9268.647,46.563,-0.0092371,44.162,94.719,0.03880415,1.70E+14,3.75E+13,3.37E+24,39.135,4440.582031,5.131,902.948,0
4698,12192,1.4,2014.10.19 19:02,1.33E+23,87.175,-0.0055913,14534.96,34.49,9673.208,47.704,-0.01002849,44.528,98.404,0.04313257,1.63E+14,3.21E+13,3.44E+24,39.42,4576.804688,5.187,996.022,0
4698,12192,1.7,2014.10.19 20:04,1.31E+23,88.327,-0.00550902,15457.57,35.428,10058.913,49.464,-0.00954467,44.94,101.012,0.01150371,1.66E+14,2.87E+13,3.51E+24,39.914,4645.686523,5.199,941.74,0
4698,12192,1.2,2014.10.19 22:55,1.39E+23,88.309,-0.00531158,14794.81,34.643,10679.933,48.996,-0.00971546,44.381,101.141,0.04642599,1.79E+14,2.90E+13,3.69E+24,39.577,4735.427734,5.166,998.748,0
4698,12192,8.7,2014.10.21 01:59,1.38E+23,95.271,-0.00596269,17310.74,41.447,12354.98,55.462,-0.01065686,48.51,109.576,0.07297926,2.11E+14,2.14E+13,4.39E+24,43.553,5533.27832,5.35,1137.754,0
4698,12192,2.7,2014.10.21 05:17,1.32E+23,97.22,-0.00602499,18254.02,43.699,11889.348,58.911,-0.00992013,49.681,110.793,0.02850861,2.04E+14,2.28E+13,4.27E+24,44.433,5655.849121,5.363,1062.146,0
4698,12192,16,2014.10.21 14:28,1.29E+23,95.14,-0.00618713,18761.59,46.814,11688.285,59.802,-0.01072704,51.38,109.813,0.10008512,2.13E+14,2.61E+13,4.38E+24,46.038,5950.770996,5.382,1088.422,0
4698,12192,1.1,2014.10.22 09:50,1.32E+23,95.75,-0.00358483,20200.48,50.353,11448.595,60.74,-0.00620174,53.215,109.191,0.12510623,2.16E+14,1.19E+13,4.90E+24,47.543,6501.41748,5.398,655.189,0
4698,12192,31,2014.10.23 21:41,1.42E+23,95.081,-0.00287493,19356.54,53.128,11477.119,59.935,-0.00512563,54.666,104.974,0.0581721,2.21E+14,6.21E+12,5.28E+24,49.2,6846.543945,5.417,590.085,0
