inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0006389,Building fire,2/14/2019,16:58:38,7,2/14/2019,18:54:03,1,05/12/2020 10:51:51,02/14/2019 16:58:38,02/14/2019 18:54:03,0.080,1.924,115.417,6925.000
19-0006551,Passenger vehicle fire,2/16/2019,3:02:26,17,2/16/2019,3:20:15,1,05/12/2020 10:51:51,02/16/2019 3:02:26,02/16/2019 3:20:15,0.012,0.297,17.817,1069.000
19-0006592,"Cooking fire, confined to container",2/16/2019,13:02:51,6,2/16/2019,13:14:05,1,05/12/2020 10:51:51,02/16/2019 13:02:51,02/16/2019 13:14:05,0.008,0.187,11.233,674.000
19-0006603,Passenger vehicle fire,2/16/2019,15:44:51,16,2/16/2019,16:30:50,1,05/12/2020 10:51:51,02/16/2019 15:44:51,02/16/2019 16:30:50,0.032,0.766,45.983,2759.000
19-0006782,"Cooking fire, confined to container",2/18/2019,4:28:24,2,2/18/2019,4:42:46,1,05/12/2020 10:51:51,02/18/2019 4:28:24,02/18/2019 4:42:46,0.010,0.239,14.367,862.000
19-0006802,"Cooking fire, confined to container",2/18/2019,9:00:47,6,2/18/2019,10:44:19,1,05/12/2020 10:51:51,02/18/2019 9:00:47,02/18/2019 10:44:19,0.072,1.726,103.533,6212.000
19-0006817,Passenger vehicle fire,2/18/2019,11:14:42,19,2/18/2019,12:14:40,1,05/12/2020 10:51:51,02/18/2019 11:14:42,02/18/2019 12:14:40,0.042,0.999,59.967,3598.000
19-0006872,"Cooking fire, confined to container",2/18/2019,20:02:28,8,2/18/2019,20:25:20,1,05/12/2020 10:51:51,02/18/2019 20:02:28,02/18/2019 20:25:20,0.016,0.381,22.867,1372.000
19-0006908,"Trash or rubbish fire, contained",2/19/2019,4:19:08,8,2/19/2019,4:34:45,1,05/12/2020 10:51:51,02/19/2019 4:19:08,02/19/2019 4:34:45,0.011,0.260,15.617,937.000
19-0006948,Building fire,2/19/2019,12:35:53,15,2/19/2019,17:26:13,3,05/12/2020 10:51:51,02/19/2019 12:35:53,02/19/2019 17:26:13,0.202,4.839,290.333,17420.000
19-0006955,Passenger vehicle fire,2/19/2019,13:43:51,6,2/19/2019,14:43:22,1,05/12/2020 10:51:51,02/19/2019 13:43:51,02/19/2019 14:43:22,0.041,0.992,59.517,3571.000
19-0007001,"Cooking fire, confined to container",2/19/2019,22:38:20,5,2/19/2019,23:06:55,1,05/12/2020 10:51:51,02/19/2019 22:38:20,02/19/2019 23:06:55,0.020,0.476,28.583,1715.000
19-0007018,Passenger vehicle fire,2/20/2019,6:39:48,14,2/20/2019,6:59:11,1,05/12/2020 10:51:51,02/20/2019 6:39:48,02/20/2019 6:59:11,0.013,0.323,19.383,1163.000
19-0007042,"Cooking fire, confined to container",2/20/2019,10:46:37,21,2/20/2019,11:08:20,1,05/12/2020 10:51:51,02/20/2019 10:46:37,02/20/2019 11:08:20,0.015,0.362,21.717,1303.000
19-0007047,Building fire,2/20/2019,11:27:24,8,2/20/2019,13:31:48,2,05/12/2020 10:51:51,02/20/2019 11:27:24,02/20/2019 13:31:48,0.086,2.073,124.400,7464.000
19-0007095,Dumpster or other outside trash receptacle fire,2/20/2019,19:42:30,19,2/20/2019,20:00:14,1,05/12/2020 10:51:51,02/20/2019 19:42:30,02/20/2019 20:00:14,0.012,0.296,17.733,1064.000
19-0007136,"Excessive heat, scorch burns with no ignition",2/21/2019,7:14:30,1,2/21/2019,7:37:15,1,05/12/2020 10:51:51,02/21/2019 7:14:30,02/21/2019 7:37:15,0.016,0.379,22.750,1365.000
19-0007166,Passenger vehicle fire,2/21/2019,12:24:51,27,2/21/2019,13:01:08,1,05/12/2020 10:51:51,02/21/2019 12:24:51,02/21/2019 13:01:08,0.025,0.605,36.283,2177.000
19-0007200,Passenger vehicle fire,2/21/2019,18:01:09,5,2/21/2019,19:59:30,1,05/12/2020 10:51:51,02/21/2019 18:01:09,02/21/2019 19:59:30,0.082,1.973,118.350,7101.000
19-0007257,"Outside rubbish, trash or waste fire",2/22/2019,1:05:23,2,2/22/2019,1:15:20,1,05/12/2020 10:51:51,02/22/2019 1:05:23,02/22/2019 1:15:20,0.007,0.166,9.950,597.000
19-0007262,Passenger vehicle fire,2/22/2019,3:21:30,16,2/22/2019,4:21:59,1,05/12/2020 10:51:51,02/22/2019 3:21:30,02/22/2019 4:21:59,0.042,1.008,60.483,3629.000
19-0007469,Passenger vehicle fire,2/23/2019,16:28:31,14,2/23/2019,17:41:55,1,05/12/2020 10:51:51,02/23/2019 16:28:31,02/23/2019 17:41:55,0.051,1.223,73.400,4404.000
19-0007505,Overpressure rupture of steam pipe or pipeline,2/23/2019,22:03:42,8,2/23/2019,22:20:22,1,05/12/2020 10:51:51,02/23/2019 22:03:42,02/23/2019 22:20:22,0.012,0.278,16.667,1000.000
19-0007515,"Fire in motor home, camper, recreational vehicle",2/24/2019,0:58:18,21,2/24/2019,4:48:17,1,05/12/2020 10:51:51,02/24/2019 0:58:18,02/24/2019 4:48:17,0.160,3.833,229.983,13799.000
19-0007517,Building fire,2/24/2019,1:01:22,21,2/24/2019,2:03:21,1,05/12/2020 10:51:51,02/24/2019 1:01:22,02/24/2019 2:03:21,0.043,1.033,61.983,3719.000
19-0007529,Building fire,2/24/2019,2:48:35,20,2/24/2019,5:50:48,1,05/12/2020 10:51:51,02/24/2019 2:48:35,02/24/2019 5:50:48,0.127,3.037,182.217,10933.000
19-0007563,"Cooking fire, confined to container",2/24/2019,10:47:11,7,2/24/2019,11:09:57,1,05/12/2020 10:51:51,02/24/2019 10:47:11,02/24/2019 11:09:57,0.016,0.379,22.767,1366.000
19-0007582,"Cooking fire, confined to container",2/24/2019,13:09:03,19,2/24/2019,13:31:23,1,05/12/2020 10:51:51,02/24/2019 13:09:03,02/24/2019 13:31:23,0.016,0.372,22.333,1340.000
19-0007597,Passenger vehicle fire,2/24/2019,17:15:33,21,2/24/2019,17:48:46,1,05/12/2020 10:51:51,02/24/2019 17:15:33,02/24/2019 17:48:46,0.023,0.554,33.217,1993.000
19-0007605,Building fire,2/24/2019,18:22:34,2,2/24/2019,20:33:40,2,05/12/2020 10:51:51,02/24/2019 18:22:34,02/24/2019 20:33:40,0.091,2.185,131.100,7866.000
19-0007613,Passenger vehicle fire,2/24/2019,19:09:32,14,2/24/2019,19:49:58,1,05/12/2020 10:51:51,02/24/2019 19:09:32,02/24/2019 19:49:58,0.028,0.674,40.433,2426.000
19-0007645,"Cooking fire, confined to container",2/25/2019,2:35:28,6,2/25/2019,2:52:25,1,05/12/2020 10:51:51,02/25/2019 2:35:28,02/25/2019 2:52:25,0.012,0.283,16.950,1017.000
19-0007687,Passenger vehicle fire,2/25/2019,12:07:42,7,2/25/2019,13:25:47,1,05/12/2020 10:51:51,02/25/2019 12:07:42,02/25/2019 13:25:47,0.054,1.301,78.083,4685.000
19-0007696,Passenger vehicle fire,2/25/2019,13:30:19,16,2/25/2019,14:14:47,1,05/12/2020 10:51:51,02/25/2019 13:30:19,02/25/2019 14:14:47,0.031,0.741,44.467,2668.000
19-0007853,Building fire,2/26/2019,14:56:35,20,2/26/2019,18:04:53,1,05/12/2020 10:51:51,02/26/2019 14:56:35,02/26/2019 18:04:53,0.131,3.138,188.300,11298.000
19-0007890,Building fire,2/26/2019,20:39:47,8,2/26/2019,22:06:06,1,05/12/2020 10:51:51,02/26/2019 20:39:47,02/26/2019 22:06:06,0.060,1.439,86.317,5179.000
19-0007954,"Cooking fire, confined to container",2/27/2019,11:24:54,8,2/27/2019,12:16:23,1,05/12/2020 10:51:51,02/27/2019 11:24:54,02/27/2019 12:16:23,0.036,0.858,51.483,3089.000
19-0007959,Building fire,2/27/2019,11:56:15,7,2/27/2019,13:13:54,1,05/12/2020 10:51:51,02/27/2019 11:56:15,02/27/2019 13:13:54,0.054,1.294,77.650,4659.000
19-0007983,Passenger vehicle fire,2/27/2019,14:45:03,5,2/27/2019,15:24:15,1,05/12/2020 10:51:51,02/27/2019 14:45:03,02/27/2019 15:24:15,0.027,0.653,39.200,2352.000
19-0008004,"Trash or rubbish fire, contained",2/27/2019,16:44:49,19,2/27/2019,16:53:22,1,05/12/2020 10:51:51,02/27/2019 16:44:49,02/27/2019 16:53:22,0.006,0.143,8.550,513.000
19-0008026,Passenger vehicle fire,2/27/2019,18:54:40,5,2/27/2019,19:35:33,1,05/12/2020 10:51:51,02/27/2019 18:54:40,02/27/2019 19:35:33,0.028,0.681,40.883,2453.000
19-0008027,"Cooking fire, confined to container",2/27/2019,18:56:00,19,2/27/2019,19:15:12,1,05/12/2020 10:51:51,2/27/2019 18:56,02/27/2019 19:15:12,0.013,0.320,19.200,1152.000
19-0008037,Passenger vehicle fire,2/27/2019,20:40:49,5,2/27/2019,21:49:28,1,05/12/2020 10:51:51,02/27/2019 20:40:49,02/27/2019 21:49:28,0.048,1.144,68.650,4119.000
19-0008058,Building fire,2/28/2019,0:35:34,8,2/28/2019,0:52:36,1,05/12/2020 10:51:51,02/28/2019 0:35:34,02/28/2019 0:52:36,0.012,0.284,17.033,1022.000
19-0008068,Passenger vehicle fire,2/28/2019,5:15:46,21,2/28/2019,8:23:22,1,05/12/2020 10:51:51,02/28/2019 5:15:46,02/28/2019 8:23:22,0.130,3.127,187.600,11256.000
19-0008068,Passenger vehicle fire,2/28/2019,5:15:46,21,2/28/2019,8:23:22,1,05/12/2020 10:51:51,02/28/2019 5:15:46,02/28/2019 8:23:22,0.130,3.127,187.600,11256.000
19-0008068,Building fire,2/28/2019,5:15:46,21,2/28/2019,8:23:22,1,05/12/2020 10:51:51,02/28/2019 5:15:46,02/28/2019 8:23:22,0.130,3.127,187.600,11256.000
19-0008068,Passenger vehicle fire,2/28/2019,5:15:46,21,2/28/2019,8:23:22,1,05/12/2020 10:51:51,02/28/2019 5:15:46,02/28/2019 8:23:22,0.130,3.127,187.600,11256.000
19-0008068,Building fire,2/28/2019,5:15:46,21,2/28/2019,8:23:22,1,05/12/2020 10:51:51,02/28/2019 5:15:46,02/28/2019 8:23:22,0.130,3.127,187.600,11256.000
19-0008195,Passenger vehicle fire,3/1/2019,0:41:26,16,3/1/2019,1:18:06,1,05/12/2020 10:51:51,03/01/2019 0:41:26,03/01/2019 1:18:06,0.025,0.611,36.667,2200.000
19-0008366,"Special outside fire, Other",3/2/2019,1:57:34,8,3/2/2019,2:09:35,1,05/12/2020 10:51:51,03/02/2019 1:57:34,03/02/2019 2:09:35,0.008,0.200,12.017,721.000
19-0008394,Building fire,3/2/2019,8:54:04,8,3/2/2019,10:43:07,1,05/12/2020 10:51:51,03/02/2019 8:54:04,03/02/2019 10:43:07,0.076,1.818,109.050,6543.000
19-0008400,"Cooking fire, confined to container",3/2/2019,9:21:57,8,3/2/2019,9:49:05,1,05/12/2020 10:51:51,03/02/2019 9:21:57,03/02/2019 9:49:05,0.019,0.452,27.133,1628.000
19-0008401,"Outside rubbish, trash or waste fire",3/2/2019,9:22:49,14,3/2/2019,9:29:35,1,05/12/2020 10:51:51,03/02/2019 9:22:49,03/02/2019 9:29:35,0.005,0.113,6.767,406.000
19-0008423,Building fire,3/2/2019,12:51:44,14,3/2/2019,15:52:34,1,05/12/2020 10:51:51,03/02/2019 12:51:44,03/02/2019 15:52:34,0.126,3.014,180.833,10850.000
19-0008480,Overpressure rupture of air or gas pipe/pipeline,3/2/2019,20:12:49,21,3/2/2019,20:44:01,1,05/12/2020 10:51:51,03/02/2019 20:12:49,03/02/2019 20:44:01,0.022,0.520,31.200,1872.000
19-0008501,Passenger vehicle fire,3/2/2019,22:57:26,8,3/2/2019,23:36:40,1,05/12/2020 10:51:51,03/02/2019 22:57:26,03/02/2019 23:36:40,0.027,0.654,39.233,2354.000
19-0008560,Building fire,3/3/2019,9:00:38,5,3/3/2019,12:03:24,1,05/12/2020 10:51:51,03/03/2019 9:00:38,03/03/2019 12:03:24,0.127,3.046,182.767,10966.000
19-0008587,Building fire,3/3/2019,13:25:34,2,3/3/2019,14:49:28,1,05/12/2020 10:51:51,03/03/2019 13:25:34,03/03/2019 14:49:28,0.058,1.398,83.900,5034.000
19-0008588,"Cooking fire, confined to container",3/3/2019,13:29:21,11,3/3/2019,13:44:28,1,05/12/2020 10:51:51,03/03/2019 13:29:21,03/03/2019 13:44:28,0.010,0.252,15.117,907.000
19-0008603,"Outside rubbish, trash or waste fire",3/3/2019,15:23:45,14,3/3/2019,15:33:07,1,05/12/2020 10:51:51,03/03/2019 15:23:45,03/03/2019 15:33:07,0.007,0.156,9.367,562.000
19-0008604,"Cooking fire, confined to container",3/3/2019,15:29:28,1,3/3/2019,16:02:01,1,05/12/2020 10:51:51,03/03/2019 15:29:28,03/03/2019 16:02:01,0.023,0.542,32.550,1953.000
19-0008769,"Cooking fire, confined to container",3/4/2019,18:48:18,21,3/4/2019,19:13:17,1,05/12/2020 10:51:51,03/04/2019 18:48:18,03/04/2019 19:13:17,0.017,0.416,24.983,1499.000
19-0008897,"Cooking fire, confined to container",3/5/2019,18:57:12,11,3/5/2019,19:15:09,1,05/12/2020 10:51:51,03/05/2019 18:57:12,03/05/2019 19:15:09,0.012,0.299,17.950,1077.000
19-0008914,Building fire,3/5/2019,21:19:37,14,3/5/2019,23:12:22,1,05/12/2020 10:51:51,03/05/2019 21:19:37,03/05/2019 23:12:22,0.078,1.879,112.750,6765.000
19-0008982,Passenger vehicle fire,3/6/2019,13:38:10,5,3/6/2019,15:29:45,1,05/12/2020 10:51:51,03/06/2019 13:38:10,03/06/2019 15:29:45,0.077,1.860,111.583,6695.000
19-0009044,Passenger vehicle fire,3/7/2019,3:40:52,27,3/7/2019,4:14:14,1,05/12/2020 10:51:51,03/07/2019 3:40:52,03/07/2019 4:14:14,0.023,0.556,33.367,2002.000
19-0009087,Dumpster or other outside trash receptacle fire,3/7/2019,12:32:17,2,3/7/2019,12:50:52,1,05/12/2020 10:51:51,03/07/2019 12:32:17,03/07/2019 12:50:52,0.013,0.310,18.583,1115.000
19-0009150,Passenger vehicle fire,3/7/2019,22:30:07,21,3/7/2019,23:06:17,1,05/12/2020 10:51:51,03/07/2019 22:30:07,03/07/2019 23:06:17,0.025,0.603,36.167,2170.000
19-0009188,Building fire,3/8/2019,8:17:45,14,3/8/2019,11:07:19,1,05/12/2020 10:51:51,03/08/2019 8:17:45,03/08/2019 11:07:19,0.118,2.826,169.567,10174.000
19-0009213,Passenger vehicle fire,3/8/2019,12:22:30,2,3/8/2019,14:14:08,1,05/12/2020 10:51:51,03/08/2019 12:22:30,03/08/2019 14:14:08,0.078,1.861,111.633,6698.000
19-0009241,"Cooking fire, confined to container",3/8/2019,14:59:26,4,3/8/2019,15:14:10,1,05/12/2020 10:51:51,03/08/2019 14:59:26,03/08/2019 15:14:10,0.010,0.246,14.733,884.000
19-0009396,"Excessive heat, scorch burns with no ignition",3/9/2019,19:46:21,8,3/9/2019,21:18:09,1,05/12/2020 10:51:51,03/09/2019 19:46:21,03/09/2019 21:18:09,0.064,1.530,91.800,5508.000
19-0009402,"Cooking fire, confined to container",3/9/2019,20:51:22,22,3/9/2019,21:21:17,1,05/12/2020 10:51:51,03/09/2019 20:51:22,03/09/2019 21:21:17,0.021,0.499,29.917,1795.000
19-0009487,Passenger vehicle fire,3/10/2019,13:18:13,7,3/10/2019,13:33:42,1,05/12/2020 10:51:51,03/10/2019 13:18:13,03/10/2019 13:33:42,0.011,0.258,15.483,929.000
19-0009535,"Outside rubbish, trash or waste fire",3/10/2019,19:48:45,5,3/10/2019,20:26:17,1,05/12/2020 10:51:51,03/10/2019 19:48:45,03/10/2019 20:26:17,0.026,0.626,37.533,2252.000
19-0009588,Passenger vehicle fire,3/11/2019,4:44:18,19,3/11/2019,4:58:11,1,05/12/2020 10:51:51,03/11/2019 4:44:18,03/11/2019 4:58:11,0.010,0.231,13.883,833.000
19-0009598,Building fire,3/11/2019,6:36:43,95,3/11/2019,8:02:15,1,05/12/2020 10:51:51,03/11/2019 6:36:43,03/11/2019 8:02:15,0.059,1.426,85.533,5132.000
19-0009600,Passenger vehicle fire,3/11/2019,6:59:12,19,3/11/2019,7:45:09,1,05/12/2020 10:51:51,03/11/2019 6:59:12,03/11/2019 7:45:09,0.032,0.766,45.950,2757.000
19-0009636,"Cooking fire, confined to container",3/11/2019,11:46:15,7,3/11/2019,12:12:51,1,05/12/2020 10:51:51,03/11/2019 11:46:15,03/11/2019 12:12:51,0.018,0.443,26.600,1596.000
19-0009645,Passenger vehicle fire,3/11/2019,12:33:43,21,3/11/2019,12:44:17,1,05/12/2020 10:51:51,03/11/2019 12:33:43,03/11/2019 12:44:17,0.007,0.176,10.567,634.000
19-0009681,Passenger vehicle fire,3/11/2019,15:31:00,6,3/11/2019,16:09:16,1,05/12/2020 10:51:51,3/11/2019 15:31,03/11/2019 16:09:16,0.027,0.638,38.267,2296.000
19-0009709,"Cooking fire, confined to container",3/11/2019,19:50:00,6,3/11/2019,20:06:45,1,05/12/2020 10:51:51,3/11/2019 19:50,03/11/2019 20:06:45,0.012,0.279,16.750,1005.000
19-0009752,Building fire,3/12/2019,1:08:14,20,3/12/2019,3:33:27,1,05/12/2020 10:51:51,03/12/2019 1:08:14,03/12/2019 3:33:27,0.101,2.420,145.217,8713.000
19-0009813,"Cooking fire, confined to container",3/12/2019,12:42:57,6,3/12/2019,12:51:35,1,05/12/2020 10:51:51,03/12/2019 12:42:57,03/12/2019 12:51:35,0.006,0.144,8.633,518.000
19-0009906,Building fire,3/13/2019,3:39:51,14,3/13/2019,5:10:32,1,05/12/2020 10:51:51,03/13/2019 3:39:51,03/13/2019 5:10:32,0.063,1.511,90.683,5441.000
19-0010052,Building fire,3/14/2019,0:12:43,17,3/14/2019,2:01:18,1,05/12/2020 10:51:51,03/14/2019 0:12:43,03/14/2019 2:01:18,0.075,1.810,108.583,6515.000
19-0010172,Overpressure rupture of air or gas pipe/pipeline,3/14/2019,16:53:11,20,3/14/2019,17:22:26,1,05/12/2020 10:51:51,03/14/2019 16:53:11,03/14/2019 17:22:26,0.020,0.487,29.250,1755.000
19-0010241,"Trash or rubbish fire, contained",3/15/2019,5:18:30,19,3/15/2019,5:47:30,1,05/12/2020 10:51:51,03/15/2019 5:18:30,03/15/2019 5:47:30,0.020,0.483,29.000,1740.000
19-0010288,Passenger vehicle fire,3/15/2019,12:35:02,14,3/15/2019,14:07:54,1,05/12/2020 10:51:51,03/15/2019 12:35:02,03/15/2019 14:07:54,0.064,1.548,92.867,5572.000
19-0010336,"Cooking fire, confined to container",3/15/2019,18:19:02,19,3/15/2019,18:38:48,1,05/12/2020 10:51:51,03/15/2019 18:19:02,03/15/2019 18:38:48,0.014,0.329,19.767,1186.000
19-0010427,"Cooking fire, confined to container",3/16/2019,12:25:28,14,3/16/2019,12:34:25,1,05/12/2020 10:51:51,03/16/2019 12:25:28,03/16/2019 12:34:25,0.006,0.149,8.950,537.000
19-0010478,Building fire,3/16/2019,17:36:50,7,3/16/2019,19:53:59,1,05/12/2020 10:51:51,03/16/2019 17:36:50,03/16/2019 19:53:59,0.095,2.286,137.150,8229.000
19-0010484,Passenger vehicle fire,3/16/2019,18:20:43,4,3/16/2019,18:37:56,1,05/12/2020 10:51:51,03/16/2019 18:20:43,03/16/2019 18:37:56,0.012,0.287,17.217,1033.000
19-0010496,"Cooking fire, confined to container",3/16/2019,19:57:49,14,3/16/2019,20:05:49,1,05/12/2020 10:51:51,03/16/2019 19:57:49,03/16/2019 20:05:49,0.006,0.133,8.000,480.000
19-0010633,"Cooking fire, confined to container",3/17/2019,20:33:11,7,3/17/2019,20:44:45,1,05/12/2020 10:51:51,03/17/2019 20:33:11,03/17/2019 20:44:45,0.008,0.193,11.567,694.000
19-0010726,Building fire,3/18/2019,15:59:18,4,3/18/2019,17:29:47,1,05/12/2020 10:51:51,03/18/2019 15:59:18,03/18/2019 17:29:47,0.063,1.508,90.483,5429.000
19-0010882,Building fire,3/19/2019,20:59:49,14,3/19/2019,21:45:37,1,05/12/2020 10:51:51,03/19/2019 20:59:49,03/19/2019 21:45:37,0.032,0.763,45.800,2748.000
19-0010941,Building fire,3/20/2019,10:57:41,4,3/20/2019,12:00:45,1,05/12/2020 10:51:51,03/20/2019 10:57:41,03/20/2019 12:00:45,0.044,1.051,63.067,3784.000
19-0010986,Building fire,3/20/2019,18:36:30,1,3/20/2019,22:42:09,2,05/12/2020 10:51:51,03/20/2019 18:36:30,03/20/2019 22:42:09,0.171,4.094,245.650,14739.000
19-0011104,"Outside rubbish, trash or waste fire",3/21/2019,16:07:04,22,3/21/2019,16:16:31,1,05/12/2020 10:51:51,03/21/2019 16:07:04,03/21/2019 16:16:31,0.007,0.157,9.450,567.000
19-0011128,"Outside rubbish, trash or waste fire",3/21/2019,19:21:41,17,3/21/2019,19:34:07,1,05/12/2020 10:51:51,03/21/2019 19:21:41,03/21/2019 19:34:07,0.009,0.207,12.433,746.000
19-0011266,"Outside rubbish, trash or waste fire",3/22/2019,19:40:13,14,3/22/2019,19:51:34,1,05/12/2020 10:51:51,03/22/2019 19:40:13,03/22/2019 19:51:34,0.008,0.189,11.350,681.000
19-0011276,Building fire,3/22/2019,20:12:11,16,3/22/2019,21:12:28,1,05/12/2020 10:51:51,03/22/2019 20:12:11,03/22/2019 21:12:28,0.042,1.005,60.283,3617.000
19-0011305,"Cooking fire, confined to container",3/23/2019,0:33:01,8,3/23/2019,0:51:02,1,05/12/2020 10:51:51,03/23/2019 0:33:01,03/23/2019 0:51:02,0.013,0.300,18.017,1081.000
19-0011307,"Special outside fire, Other",3/23/2019,1:19:45,21,3/23/2019,2:29:56,1,05/12/2020 10:51:51,03/23/2019 1:19:45,03/23/2019 2:29:56,0.049,1.170,70.183,4211.000
19-0011317,Building fire,3/23/2019,2:57:11,14,3/23/2019,3:24:40,1,05/12/2020 10:51:51,03/23/2019 2:57:11,03/23/2019 3:24:40,0.019,0.458,27.483,1649.000
19-0011347,Passenger vehicle fire,3/23/2019,10:35:59,14,3/23/2019,12:36:01,1,05/12/2020 10:51:51,03/23/2019 10:35:59,03/23/2019 12:36:01,0.083,2.001,120.033,7202.000
19-0011375,Building fire,3/23/2019,13:11:41,17,3/23/2019,16:18:37,1,05/12/2020 10:51:51,03/23/2019 13:11:41,03/23/2019 16:18:37,0.130,3.116,186.933,11216.000
19-0011377,Dumpster or other outside trash receptacle fire,3/23/2019,13:15:08,8,3/23/2019,13:25:48,1,05/12/2020 10:51:51,03/23/2019 13:15:08,03/23/2019 13:25:48,0.007,0.178,10.667,640.000
19-0011416,Passenger vehicle fire,3/23/2019,18:04:43,7,3/23/2019,18:11:50,1,05/12/2020 10:51:51,03/23/2019 18:04:43,03/23/2019 18:11:50,0.005,0.119,7.117,427.000
19-0011421,"Outside rubbish, trash or waste fire",3/23/2019,18:51:46,17,3/23/2019,19:09:25,1,05/12/2020 10:51:51,03/23/2019 18:51:46,03/23/2019 19:09:25,0.012,0.294,17.650,1059.000
19-0011428,"Cooking fire, confined to container",3/23/2019,19:19:24,5,3/23/2019,19:35:18,1,05/12/2020 10:51:51,03/23/2019 19:19:24,03/23/2019 19:35:18,0.011,0.265,15.900,954.000
19-0011495,Building fire,3/24/2019,5:01:05,8,3/24/2019,7:46:36,1,05/12/2020 10:51:51,03/24/2019 5:01:05,03/24/2019 7:46:36,0.115,2.759,165.517,9931.000
19-0011576,Building fire,3/24/2019,20:52:10,28,3/24/2019,21:44:05,1,05/12/2020 10:51:51,03/24/2019 20:52:10,03/24/2019 21:44:05,0.036,0.865,51.917,3115.000
19-0011607,"Outside rubbish, trash or waste fire",3/25/2019,7:00:04,4,3/25/2019,7:10:13,1,05/12/2020 10:51:51,03/25/2019 7:00:04,03/25/2019 7:10:13,0.007,0.169,10.150,609.000
19-0011629,Passenger vehicle fire,3/25/2019,11:04:48,17,3/25/2019,12:09:33,1,05/12/2020 10:51:51,03/25/2019 11:04:48,03/25/2019 12:09:33,0.045,1.079,64.750,3885.000
19-0011651,Building fire,3/25/2019,15:54:40,16,3/25/2019,18:08:31,1,05/12/2020 10:51:51,03/25/2019 15:54:40,03/25/2019 18:08:31,0.093,2.231,133.850,8031.000
19-0011761,Building fire,3/26/2019,12:55:13,16,3/26/2019,14:31:29,1,05/12/2020 10:51:51,03/26/2019 12:55:13,03/26/2019 14:31:29,0.067,1.604,96.267,5776.000
19-0011768,Dumpster or other outside trash receptacle fire,3/26/2019,13:48:10,16,3/26/2019,13:56:09,1,05/12/2020 10:51:51,03/26/2019 13:48:10,03/26/2019 13:56:09,0.006,0.133,7.983,479.000
19-0011772,Building fire,3/26/2019,14:30:06,16,3/26/2019,14:50:13,1,05/12/2020 10:51:51,03/26/2019 14:30:06,03/26/2019 14:50:13,0.014,0.335,20.117,1207.000
19-0011773,"Cooking fire, confined to container",3/26/2019,14:44:33,7,3/26/2019,15:02:29,1,05/12/2020 10:51:51,03/26/2019 14:44:33,03/26/2019 15:02:29,0.012,0.299,17.933,1076.000
19-0011783,"Cooking fire, confined to container",3/26/2019,16:32:49,19,3/26/2019,17:06:39,1,05/12/2020 10:51:51,03/26/2019 16:32:49,03/26/2019 17:06:39,0.023,0.564,33.833,2030.000
19-0011803,"Trash or rubbish fire, contained",3/26/2019,18:57:54,4,3/26/2019,19:32:07,1,05/12/2020 10:51:51,03/26/2019 18:57:54,03/26/2019 19:32:07,0.024,0.570,34.217,2053.000
19-0011825,Building fire,3/26/2019,22:07:20,4,3/26/2019,23:45:22,1,05/12/2020 10:51:51,03/26/2019 22:07:20,03/26/2019 23:45:22,0.068,1.634,98.033,5882.000
19-0011828,Passenger vehicle fire,3/26/2019,22:18:33,7,3/26/2019,22:55:20,1,05/12/2020 10:51:51,03/26/2019 22:18:33,03/26/2019 22:55:20,0.026,0.613,36.783,2207.000
19-0011922,"Excessive heat, scorch burns with no ignition",3/27/2019,18:59:35,22,3/27/2019,19:28:27,1,05/12/2020 10:51:51,03/27/2019 18:59:35,03/27/2019 19:28:27,0.020,0.481,28.867,1732.000
19-0011946,Passenger vehicle fire,3/28/2019,0:05:00,5,3/28/2019,2:02:59,1,05/12/2020 10:51:51,3/28/2019 0:05,03/28/2019 2:02:59,0.082,1.966,117.983,7079.000
19-0011988,Dumpster or other outside trash receptacle fire,3/28/2019,11:31:25,16,3/28/2019,12:00:51,1,05/12/2020 10:51:51,03/28/2019 11:31:25,03/28/2019 12:00:51,0.020,0.491,29.433,1766.000
19-0012045,"Outside rubbish, trash or waste fire",3/28/2019,19:49:02,16,3/28/2019,19:59:18,1,05/12/2020 10:51:51,03/28/2019 19:49:02,03/28/2019 19:59:18,0.007,0.171,10.267,616.000
19-0012196,Building fire,3/29/2019,21:39:24,5,3/30/2019,0:51:45,1,05/12/2020 10:51:51,03/29/2019 21:39:24,03/30/2019 0:51:45,0.134,3.206,192.350,11541.000
19-0012226,Building fire,3/30/2019,1:20:22,5,3/30/2019,3:20:56,1,05/12/2020 10:51:51,03/30/2019 1:20:22,03/30/2019 3:20:56,0.084,2.009,120.567,7234.000
19-0012237,"Outside rubbish, trash or waste fire",3/30/2019,3:23:01,11,3/30/2019,3:49:57,1,05/12/2020 10:51:51,03/30/2019 3:23:01,03/30/2019 3:49:57,0.019,0.449,26.933,1616.000
19-0012263,"Outside rubbish, trash or waste fire",3/30/2019,11:37:01,21,3/30/2019,12:08:50,1,05/12/2020 10:51:51,03/30/2019 11:37:01,03/30/2019 12:08:50,0.022,0.530,31.817,1909.000
19-0012342,Building fire,3/31/2019,1:26:04,8,3/31/2019,1:49:01,1,05/12/2020 10:51:51,03/31/2019 1:26:04,03/31/2019 1:49:01,0.016,0.383,22.950,1377.000
