inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0001681,Dumpster or other outside trash receptacle fire,1/13/2019,19:13:49,7,1/13/2019,19:30:44,1,05/12/2020 10:51:51,01/13/2019 19:13:49,01/13/2019 19:30:44,0.012,0.282,16.917,1015.000
19-0001712,"Outside rubbish, trash or waste fire",1/14/2019,0:56:46,27,1/14/2019,1:12:17,1,05/12/2020 10:51:51,01/14/2019 0:56:46,01/14/2019 1:12:17,0.011,0.259,15.517,931.000
19-0001731,Passenger vehicle fire,1/14/2019,6:45:54,5,1/14/2019,7:24:13,1,05/12/2020 10:51:51,01/14/2019 6:45:54,01/14/2019 7:24:13,0.027,0.639,38.317,2299.000
19-0001773,"Cooking fire, confined to container",1/14/2019,13:00:08,7,1/14/2019,13:19:10,1,05/12/2020 10:51:51,01/14/2019 13:00:08,01/14/2019 13:19:10,0.013,0.317,19.033,1142.000
19-0001785,"Outside rubbish, trash or waste fire",1/14/2019,15:20:55,27,1/14/2019,15:40:21,1,05/12/2020 10:51:51,01/14/2019 15:20:55,01/14/2019 15:40:21,0.013,0.324,19.433,1166.000
19-0001894,Building fire,1/15/2019,14:44:29,28,1/15/2019,15:22:25,1,05/12/2020 10:51:51,01/15/2019 14:44:29,01/15/2019 15:22:25,0.026,0.632,37.933,2276.000
19-0001943,"Excessive heat, scorch burns with no ignition",1/15/2019,19:46:14,7,1/15/2019,19:58:39,1,05/12/2020 10:51:51,01/15/2019 19:46:14,01/15/2019 19:58:39,0.009,0.207,12.417,745.000
19-0001967,"Excessive heat, scorch burns with no ignition",1/16/2019,0:50:16,19,1/16/2019,1:28:20,1,05/12/2020 10:51:51,01/16/2019 0:50:16,01/16/2019 1:28:20,0.026,0.634,38.067,2284.000
19-0002018,"Commercial Compactor fire, confined to rubbish",1/16/2019,14:43:35,1,1/16/2019,15:04:49,1,05/12/2020 10:51:51,01/16/2019 14:43:35,01/16/2019 15:04:49,0.015,0.354,21.233,1274.000
19-0002052,"Cooking fire, confined to container",1/16/2019,20:03:32,11,1/16/2019,20:22:33,1,05/12/2020 10:51:51,01/16/2019 20:03:32,01/16/2019 20:22:33,0.013,0.317,19.017,1141.000
19-0002106,"Cooking fire, confined to container",1/17/2019,10:42:13,6,1/17/2019,11:09:05,1,05/12/2020 10:51:51,01/17/2019 10:42:13,01/17/2019 11:09:05,0.019,0.448,26.867,1612.000
19-0002137,Dumpster or other outside trash receptacle fire,1/17/2019,17:02:37,19,1/17/2019,17:10:19,1,05/12/2020 10:51:51,01/17/2019 17:02:37,01/17/2019 17:10:19,0.005,0.128,7.700,462.000
19-0002207,Building fire,1/18/2019,3:48:15,17,1/18/2019,7:37:07,1,05/12/2020 10:51:51,01/18/2019 3:48:15,01/18/2019 7:37:07,0.159,3.814,228.867,13732.000
19-0002212,"Outside rubbish, trash or waste fire",1/18/2019,5:18:17,8,1/18/2019,5:45:46,1,05/12/2020 10:51:51,01/18/2019 5:18:17,01/18/2019 5:45:46,0.019,0.458,27.483,1649.000
19-0002250,"Outside rubbish, trash or waste fire",1/18/2019,12:37:57,20,1/18/2019,12:45:29,1,05/12/2020 10:51:51,01/18/2019 12:37:57,01/18/2019 12:45:29,0.005,0.126,7.533,452.000
19-0002280,Building fire,1/18/2019,16:14:36,14,1/18/2019,18:17:12,1,05/12/2020 10:51:51,01/18/2019 16:14:36,01/18/2019 18:17:12,0.085,2.043,122.600,7356.000
19-0002310,"Cooking fire, confined to container",1/18/2019,21:30:00,1,1/18/2019,21:55:53,1,05/12/2020 10:51:51,1/18/2019 21:30,01/18/2019 21:55:53,0.018,0.431,25.883,1553.000
19-0002315,Building fire,1/18/2019,22:23:07,14,1/18/2019,23:15:20,1,05/12/2020 10:51:51,01/18/2019 22:23:07,01/18/2019 23:15:20,0.036,0.870,52.217,3133.000
19-0002365,"Special outside fire, Other",1/19/2019,11:09:12,19,1/19/2019,11:21:23,1,05/12/2020 10:51:51,01/19/2019 11:09:12,01/19/2019 11:21:23,0.008,0.203,12.183,731.000
19-0002471,Building fire,1/20/2019,5:07:55,1,1/20/2019,9:56:21,1,05/12/2020 10:51:51,01/20/2019 5:07:55,01/20/2019 9:56:21,0.200,4.807,288.433,17306.000
19-0002576,"Excessive heat, scorch burns with no ignition",1/21/2019,1:07:50,17,1/21/2019,1:40:10,1,05/12/2020 10:51:51,01/21/2019 1:07:50,01/21/2019 1:40:10,0.022,0.539,32.333,1940.000
19-0002767,Building fire,1/22/2019,15:06:28,20,1/22/2019,16:43:07,1,05/12/2020 10:51:51,01/22/2019 15:06:28,01/22/2019 16:43:07,0.067,1.611,96.650,5799.000
19-0002835,Passenger vehicle fire,1/23/2019,1:04:16,14,1/23/2019,2:52:14,1,05/12/2020 10:51:51,01/23/2019 1:04:16,01/23/2019 2:52:14,0.075,1.799,107.967,6478.000
19-0002840,Dumpster or other outside trash receptacle fire,1/23/2019,2:10:12,19,1/23/2019,2:26:44,1,05/12/2020 10:51:51,01/23/2019 2:10:12,01/23/2019 2:26:44,0.011,0.276,16.533,992.000
19-0002942,Building fire,1/23/2019,23:02:03,17,1/23/2019,23:20:16,1,05/12/2020 10:51:51,01/23/2019 23:02:03,01/23/2019 23:20:16,0.013,0.304,18.217,1093.000
19-0003049,"Cooking fire, confined to container",1/24/2019,19:00:53,11,1/24/2019,19:46:30,1,05/12/2020 10:51:51,01/24/2019 19:00:53,01/24/2019 19:46:30,0.032,0.760,45.617,2737.000
19-0003090,Dumpster or other outside trash receptacle fire,1/25/2019,2:16:41,7,1/25/2019,2:30:23,1,05/12/2020 10:51:51,01/25/2019 2:16:41,01/25/2019 2:30:23,0.010,0.228,13.700,822.000
19-0003129,Passenger vehicle fire,1/25/2019,10:53:55,20,1/25/2019,11:19:30,1,05/12/2020 10:51:51,01/25/2019 10:53:55,01/25/2019 11:19:30,0.018,0.426,25.583,1535.000
19-0003227,Fires in structure other than in a building,1/26/2019,2:45:12,6,1/26/2019,3:02:28,1,05/12/2020 10:51:51,01/26/2019 2:45:12,01/26/2019 3:02:28,0.012,0.288,17.267,1036.000
19-0003241,Passenger vehicle fire,1/26/2019,5:08:21,17,1/26/2019,5:53:39,1,05/12/2020 10:51:51,01/26/2019 5:08:21,01/26/2019 5:53:39,0.031,0.755,45.300,2718.000
19-0003281,"Cooking fire, confined to container",1/26/2019,12:35:13,19,1/26/2019,13:07:25,1,05/12/2020 10:51:51,01/26/2019 12:35:13,01/26/2019 13:07:25,0.022,0.537,32.200,1932.000
